model,h,thinking,trial,correct,completion,finish,note,raw
Qwen3.6-35B,1,0,1,1,2,stop,得到 杭州 期望 杭州,杭州
Qwen3.6-35B,1,0,2,1,2,stop,得到 杭州 期望 杭州,杭州
Qwen3.6-35B,1,0,3,1,2,stop,得到 兰州 期望 兰州,兰州
Qwen3.6-35B,1,1,1,1,868,stop,得到 杭州 期望 杭州,杭州
Qwen3.6-35B,1,1,2,1,447,stop,得到 杭州 期望 杭州,杭州
Qwen3.6-35B,1,1,3,1,927,stop,得到 兰州 期望 兰州,兰州
Qwen3.6-35B,2,0,1,0,2,stop,得到 南宁 期望 西安,南宁
Qwen3.6-35B,2,0,2,0,2,stop,得到 杭州 期望 昆明,杭州
Qwen3.6-35B,2,0,3,0,2,stop,得到 厦门 期望 南宁,厦门
Qwen3.6-35B,2,1,1,1,816,stop,得到 西安 期望 西安,西安
Qwen3.6-35B,2,1,2,1,776,stop,得到 昆明 期望 昆明,昆明
Qwen3.6-35B,2,1,3,1,873,stop,得到 南宁 期望 南宁,南宁
Qwen3.6-35B,3,0,1,1,2,stop,得到 杭州 期望 杭州,杭州
Qwen3.6-35B,3,0,2,1,2,stop,得到 贵阳 期望 贵阳,贵阳
Qwen3.6-35B,3,0,3,1,2,stop,得到 西安 期望 西安,西安
Qwen3.6-35B,3,1,1,1,1135,stop,得到 杭州 期望 杭州,杭州
Qwen3.6-35B,3,1,2,1,807,stop,得到 贵阳 期望 贵阳,贵阳
Qwen3.6-35B,3,1,3,1,790,stop,得到 西安 期望 西安,西安
Qwen3.6-35B,4,0,1,1,2,stop,得到 兰州 期望 兰州,兰州
Qwen3.6-35B,4,0,2,0,2,stop,得到 西安 期望 南宁,西安
Qwen3.6-35B,4,0,3,0,2,stop,得到 青岛 期望 沈阳,青岛
Qwen3.6-35B,4,1,1,1,1530,stop,得到 兰州 期望 兰州,兰州
Qwen3.6-35B,4,1,2,1,1121,stop,得到 南宁 期望 南宁,南宁
Qwen3.6-35B,4,1,3,1,1434,stop,得到 沈阳 期望 沈阳,沈阳
Qwen3.6-35B,5,0,1,1,2,stop,得到 贵阳 期望 贵阳,贵阳
Qwen3.6-35B,5,0,2,0,2,stop,得到 兰州 期望 厦门,兰州
Qwen3.6-35B,5,0,3,1,2,stop,得到 成都 期望 成都,成都
Qwen3.6-35B,5,1,1,1,1505,stop,得到 贵阳 期望 贵阳,贵阳
Qwen3.6-35B,5,1,2,1,1882,stop,得到 厦门 期望 厦门,厦门
Qwen3.6-35B,5,1,3,1,1400,stop,得到 成都 期望 成都,成都
GLM-5.2,1,0,1,1,1,stop,得到 杭州 期望 杭州,杭州
GLM-5.2,1,0,2,1,1,stop,得到 杭州 期望 杭州,杭州
GLM-5.2,1,0,3,1,1,stop,得到 兰州 期望 兰州,兰州
GLM-5.2,1,1,1,1,189,stop,得到 杭州 期望 杭州,杭州
GLM-5.2,1,1,2,1,82,stop,得到 杭州 期望 杭州,杭州
GLM-5.2,1,1,3,1,194,stop,得到 兰州 期望 兰州,兰州
GLM-5.2,2,0,1,1,1,stop,得到 西安 期望 西安,西安
GLM-5.2,2,0,2,1,1,stop,得到 昆明 期望 昆明,昆明
GLM-5.2,2,0,3,1,1,stop,得到 南宁 期望 南宁,南宁
GLM-5.2,2,1,1,1,136,stop,得到 西安 期望 西安,西安
GLM-5.2,2,1,2,1,143,stop,得到 昆明 期望 昆明,昆明
GLM-5.2,2,1,3,1,90,stop,得到 南宁 期望 南宁,南宁
GLM-5.2,3,0,1,0,1,stop,得到 南宁 期望 杭州,南宁
GLM-5.2,3,0,2,1,1,stop,得到 贵阳 期望 贵阳,贵阳
GLM-5.2,3,0,3,1,1,stop,得到 西安 期望 西安,西安
GLM-5.2,3,1,1,1,81,stop,得到 杭州 期望 杭州,杭州
GLM-5.2,3,1,2,1,93,stop,得到 贵阳 期望 贵阳,贵阳
GLM-5.2,3,1,3,1,76,stop,得到 西安 期望 西安,西安
GLM-5.2,4,0,1,0,1,stop,得到 成都 期望 兰州,成都
GLM-5.2,4,0,2,0,1,stop,得到 西安 期望 南宁,西安
GLM-5.2,4,0,3,1,1,stop,得到 沈阳 期望 沈阳,沈阳
GLM-5.2,4,1,1,1,305,stop,得到 兰州 期望 兰州,兰州
GLM-5.2,4,1,2,1,154,stop,得到 南宁 期望 南宁,南宁
GLM-5.2,4,1,3,1,232,stop,得到 沈阳 期望 沈阳,沈阳
GLM-5.2,5,0,1,1,1,stop,得到 贵阳 期望 贵阳,贵阳
GLM-5.2,5,0,2,0,1,stop,得到 贵阳 期望 厦门,贵阳
GLM-5.2,5,0,3,0,1,stop,得到 沈阳 期望 成都,沈阳
GLM-5.2,5,1,1,1,254,stop,得到 贵阳 期望 贵阳,贵阳
GLM-5.2,5,1,2,1,394,stop,得到 厦门 期望 厦门,厦门
GLM-5.2,5,1,3,1,272,stop,得到 成都 期望 成都,成都
LongCat-2.0,1,0,1,1,2,stop,得到 杭州 期望 杭州,杭州
LongCat-2.0,1,0,2,1,2,stop,得到 杭州 期望 杭州,杭州
LongCat-2.0,1,0,3,1,2,stop,得到 兰州 期望 兰州,兰州
LongCat-2.0,1,1,1,1,214,stop,得到 杭州 期望 杭州,杭州
LongCat-2.0,1,1,2,1,77,stop,得到 杭州 期望 杭州,杭州
LongCat-2.0,1,1,3,1,249,stop,得到 兰州 期望 兰州,兰州
LongCat-2.0,2,0,1,1,2,stop,得到 西安 期望 西安,西安
LongCat-2.0,2,0,2,1,2,stop,得到 昆明 期望 昆明,昆明
LongCat-2.0,2,0,3,1,2,stop,得到 南宁 期望 南宁,南宁
LongCat-2.0,2,1,1,1,235,stop,得到 西安 期望 西安,西安
LongCat-2.0,2,1,2,1,251,stop,得到 昆明 期望 昆明,昆明
LongCat-2.0,2,1,3,1,75,stop,得到 南宁 期望 南宁,南宁
LongCat-2.0,3,0,1,0,2,stop,得到 南宁 期望 杭州,南宁
LongCat-2.0,3,0,2,1,2,stop,得到 贵阳 期望 贵阳,贵阳
LongCat-2.0,3,0,3,1,2,stop,得到 西安 期望 西安,西安
LongCat-2.0,3,1,1,1,287,stop,得到 杭州 期望 杭州,杭州
LongCat-2.0,3,1,2,1,277,stop,得到 贵阳 期望 贵阳,贵阳
LongCat-2.0,3,1,3,1,194,stop,得到 西安 期望 西安,西安
LongCat-2.0,4,0,1,0,2,stop,得到 成都 期望 兰州,成都
LongCat-2.0,4,0,2,0,2,stop,得到 西安 期望 南宁,西安
LongCat-2.0,4,0,3,0,2,stop,得到 南宁 期望 沈阳,南宁
LongCat-2.0,4,1,1,1,297,stop,得到 兰州 期望 兰州,兰州
LongCat-2.0,4,1,2,1,211,stop,得到 南宁 期望 南宁,南宁
LongCat-2.0,4,1,3,1,218,stop,得到 沈阳 期望 沈阳,沈阳
LongCat-2.0,5,0,1,1,2,stop,得到 贵阳 期望 贵阳,贵阳
LongCat-2.0,5,0,2,0,2,stop,得到 南宁 期望 厦门,南宁
LongCat-2.0,5,0,3,0,2,stop,得到 哈尔滨 期望 成都,哈尔滨
LongCat-2.0,5,1,1,1,324,stop,得到 贵阳 期望 贵阳,贵阳
LongCat-2.0,5,1,2,1,355,stop,得到 厦门 期望 厦门,厦门
LongCat-2.0,5,1,3,1,318,stop,得到 成都 期望 成都,成都
