model,k,thinking,trial,a1,correct,completion,wall,finish,note
Qwen3.6-35B,1,0,1,3,1,3,33.5,stop,得到 32 期望 32
Qwen3.6-35B,1,0,2,4,0,3,1.2,stop,得到 40 期望 39
Qwen3.6-35B,1,0,3,5,1,3,33.5,stop,得到 46 期望 46
Qwen3.6-35B,2,0,1,3,0,4,33.5,stop,得到 674 期望 235
Qwen3.6-35B,2,0,2,4,0,4,1.0,stop,得到 239 期望 284
Qwen3.6-35B,2,0,3,5,0,4,33.2,stop,得到 146 期望 333
Qwen3.6-35B,3,0,1,3,0,4,74.6,stop,得到 532 期望 656
Qwen3.6-35B,3,0,2,4,0,4,74.5,stop,得到 479 期望 999
Qwen3.6-35B,3,0,3,5,0,4,0.5,stop,得到 438 期望 342
Qwen3.6-35B,4,0,1,3,0,4,0.4,stop,得到 616 期望 603
Qwen3.6-35B,4,0,2,7,0,4,0.5,stop,得到 458 期望 207
Qwen3.6-35B,4,0,3,5,0,4,0.5,stop,得到 311 期望 405
Qwen3.6-35B,5,0,1,3,0,4,0.4,stop,得到 678 期望 232
Qwen3.6-35B,5,0,2,4,0,4,0.5,stop,得到 227 期望 39
Qwen3.6-35B,5,0,3,5,0,4,0.6,stop,得到 892 期望 846
Qwen3.6-35B,6,0,1,3,0,4,0.7,stop,得到 894 期望 635
Qwen3.6-35B,6,0,2,4,0,4,0.5,stop,得到 507 期望 284
Qwen3.6-35B,6,0,3,5,0,4,0.5,stop,得到 276 期望 933
Qwen3.6-35B,7,0,1,3,0,4,0.7,stop,得到 876 期望 456
Qwen3.6-35B,7,0,2,4,0,4,0.6,stop,得到 447 期望 999
Qwen3.6-35B,7,0,3,5,0,4,0.5,stop,得到 296 期望 542
Qwen3.6-35B,8,0,1,3,0,4,0.4,stop,得到 819 期望 203
Qwen3.6-35B,8,0,2,7,0,4,0.5,stop,得到 368 期望 407
Qwen3.6-35B,8,0,3,5,0,4,0.4,stop,得到 688 期望 805
Qwen3.6-35B,9,0,1,3,0,4,0.4,stop,得到 367 期望 432
Qwen3.6-35B,9,0,2,4,0,4,0.5,stop,得到 835 期望 39
Qwen3.6-35B,9,0,3,5,0,4,0.4,stop,得到 438 期望 646
Qwen3.6-35B,10,0,1,3,0,4,0.6,stop,得到 712 期望 35
Qwen3.6-35B,10,0,2,4,0,4,0.5,stop,得到 901 期望 284
Qwen3.6-35B,10,0,3,5,0,4,0.9,stop,得到 651 期望 533
Qwen3.6-35B,11,0,1,3,0,4,0.5,stop,得到 654 期望 256
Qwen3.6-35B,11,0,2,4,0,4,0.5,stop,得到 699 期望 999
Qwen3.6-35B,11,0,3,5,0,4,0.5,stop,得到 782 期望 742
Qwen3.6-35B,12,0,1,3,0,4,0.5,stop,得到 463 期望 803
Qwen3.6-35B,12,0,2,7,0,4,0.5,stop,得到 308 期望 607
Qwen3.6-35B,12,0,3,5,0,4,0.4,stop,得到 508 期望 205
Qwen3.6-35B,13,0,1,3,0,4,0.8,stop,得到 925 期望 632
Qwen3.6-35B,13,0,2,4,0,4,0.5,stop,得到 795 期望 39
Qwen3.6-35B,13,0,3,5,0,4,0.6,stop,得到 140 期望 446
Qwen3.6-35B,14,0,1,3,0,4,0.8,stop,得到 458 期望 435
Qwen3.6-35B,14,0,2,4,0,4,0.7,stop,得到 619 期望 284
Qwen3.6-35B,14,0,3,5,0,4,0.7,stop,得到 142 期望 133
Qwen3.6-35B,15,0,1,3,0,4,0.5,stop,得到 474 期望 56
Qwen3.6-35B,15,0,2,4,0,4,0.5,stop,得到 659 期望 999
Qwen3.6-35B,15,0,3,5,0,3,0.7,stop,得到 61 期望 942
GLM-5.2,1,0,1,3,1,1,0.9,stop,得到 32 期望 32
GLM-5.2,1,0,2,4,1,1,1.8,stop,得到 39 期望 39
GLM-5.2,1,0,3,5,1,1,0.9,stop,得到 46 期望 46
GLM-5.2,2,0,1,3,0,2,0.9,stop,得到 388 期望 235
GLM-5.2,2,0,2,4,0,2,0.8,stop,得到 382 期望 284
GLM-5.2,2,0,3,5,0,2,1.3,stop,得到 268 期望 333
GLM-5.2,3,0,1,3,0,1,0.9,stop,得到 146 期望 656
GLM-5.2,3,0,2,4,0,2,1.0,stop,得到 669 期望 999
GLM-5.2,3,0,3,5,0,2,1.2,stop,得到 227 期望 342
GLM-5.2,4,0,1,3,0,2,1.0,stop,得到 554 期望 603
GLM-5.2,4,0,2,7,0,2,0.9,stop,得到 346 期望 207
GLM-5.2,4,0,3,5,0,2,0.9,stop,得到 638 期望 405
GLM-5.2,5,0,1,3,0,1,0.8,stop,得到 270 期望 232
GLM-5.2,5,0,2,4,0,2,1.1,stop,得到 233 期望 39
GLM-5.2,5,0,3,5,0,1,0.7,stop,得到 216 期望 846
GLM-5.2,6,0,1,3,0,2,1.0,stop,得到 662 期望 635
GLM-5.2,6,0,2,4,0,2,1.1,stop,得到 708 期望 284
GLM-5.2,6,0,3,5,0,2,0.8,stop,得到 540 期望 933
GLM-5.2,7,0,1,3,0,1,0.9,stop,得到 166 期望 456
GLM-5.2,7,0,2,4,0,2,3.3,stop,得到 868 期望 999
GLM-5.2,7,0,3,5,0,2,1.9,stop,得到 342 期望 542
GLM-5.2,8,0,1,3,0,2,0.8,stop,得到 955 期望 203
GLM-5.2,8,0,2,7,0,1,1.5,stop,得到 260 期望 407
GLM-5.2,8,0,3,5,0,2,0.9,stop,得到 984 期望 805
GLM-5.2,9,0,1,3,0,2,1.8,stop,得到 486 期望 432
GLM-5.2,9,0,2,4,0,1,2.0,stop,得到 245 期望 39
GLM-5.2,9,0,3,5,0,2,0.9,stop,得到 836 期望 646
GLM-5.2,10,0,1,3,0,2,0.9,stop,得到 834 期望 35
GLM-5.2,10,0,2,4,0,1,1.0,stop,得到 52 期望 284
GLM-5.2,10,0,3,5,0,2,0.9,stop,得到 874 期望 533
GLM-5.2,11,0,1,3,0,2,1.0,stop,得到 470 期望 256
GLM-5.2,11,0,2,4,0,1,0.8,stop,得到 119 期望 999
GLM-5.2,11,0,3,5,0,1,0.9,stop,得到 111 期望 742
GLM-5.2,12,0,1,3,0,2,0.9,stop,得到 808 期望 803
GLM-5.2,12,0,2,7,0,2,1.6,stop,得到 726 期望 607
GLM-5.2,12,0,3,5,0,2,1.5,stop,得到 472 期望 205
GLM-5.2,13,0,1,3,0,2,0.9,stop,得到 552 期望 632
GLM-5.2,13,0,2,4,0,2,0.9,stop,得到 384 期望 39
GLM-5.2,13,0,3,5,0,2,1.5,stop,得到 958 期望 446
GLM-5.2,14,0,1,3,0,1,4.3,stop,得到 158 期望 435
GLM-5.2,14,0,2,4,0,2,0.9,stop,得到 779 期望 284
GLM-5.2,14,0,3,5,0,2,1.6,stop,得到 536 期望 133
GLM-5.2,15,0,1,3,0,2,0.9,stop,得到 822 期望 56
GLM-5.2,15,0,2,4,0,2,0.8,stop,得到 542 期望 999
GLM-5.2,15,0,3,5,0,2,0.9,stop,得到 918 期望 942
LongCat-2.0,1,0,1,3,0,3,5.9,stop,得到 42 期望 32
LongCat-2.0,1,0,2,4,0,4,1.6,stop,得到 159 期望 39
LongCat-2.0,1,0,3,5,0,3,1.5,stop,得到 56 期望 46
LongCat-2.0,2,0,1,3,0,4,1.5,stop,得到 355 期望 235
LongCat-2.0,2,0,2,4,0,4,1.7,stop,得到 209 期望 284
LongCat-2.0,2,0,3,5,0,4,2.2,stop,得到 341 期望 333
LongCat-2.0,3,0,1,3,0,3,2.4,stop,得到 52 期望 656
LongCat-2.0,3,0,2,4,0,4,1.8,stop,得到 592 期望 999
LongCat-2.0,3,0,3,5,0,4,1.3,stop,得到 459 期望 342
LongCat-2.0,4,0,1,3,0,4,1.9,stop,得到 349 期望 603
LongCat-2.0,4,0,2,7,0,4,1.4,stop,得到 839 期望 207
LongCat-2.0,4,0,3,5,0,4,1.6,stop,得到 169 期望 405
LongCat-2.0,5,0,1,3,0,4,2.0,stop,得到 309 期望 232
LongCat-2.0,5,0,2,4,0,4,1.7,stop,得到 412 期望 39
LongCat-2.0,5,0,3,5,0,4,1.5,stop,得到 165 期望 846
LongCat-2.0,6,0,1,3,0,4,2.1,stop,得到 445 期望 635
LongCat-2.0,6,0,2,4,0,4,1.8,stop,得到 451 期望 284
LongCat-2.0,6,0,3,5,0,4,2.8,stop,得到 541 期望 933
LongCat-2.0,7,0,1,3,0,4,2.0,stop,得到 331 期望 456
LongCat-2.0,7,0,2,4,0,4,1.6,stop,得到 185 期望 999
LongCat-2.0,7,0,3,5,0,4,1.7,stop,得到 573 期望 542
LongCat-2.0,8,0,1,3,0,4,2.4,stop,得到 809 期望 203
LongCat-2.0,8,0,2,7,0,4,1.7,stop,得到 689 期望 407
LongCat-2.0,8,0,3,5,0,4,1.8,stop,得到 597 期望 805
LongCat-2.0,9,0,1,3,0,4,5.8,stop,得到 809 期望 432
LongCat-2.0,9,0,2,4,0,4,1.3,stop,得到 792 期望 39
LongCat-2.0,9,0,3,5,0,4,1.5,stop,得到 386 期望 646
LongCat-2.0,10,0,1,3,0,2,1.3,stop,得到 3 期望 35
LongCat-2.0,10,0,2,4,0,4,1.4,stop,得到 142 期望 284
LongCat-2.0,10,0,3,5,0,4,1.8,stop,得到 195 期望 533
LongCat-2.0,11,0,1,3,0,4,1.6,stop,得到 757 期望 256
LongCat-2.0,11,0,2,4,0,4,2.0,stop,得到 683 期望 999
