task,type,model,trial,correct,prompt,completion,wall,reasoning,note
extract-amounts,抽取,Qwen3.6-35B,1,0,93,512,9.4,1,"得到 '4,5,12,45,56,89,256,1200' 期望 '12,45,89,256,1200'"
extract-amounts,抽取,Qwen3.6-35B,2,0,93,512,7.8,1,"得到 '4,5,12,45,89,256,1200' 期望 '12,45,89,256,1200'"
extract-amounts,抽取,Qwen3.6-35B,3,0,93,512,11.1,1,"得到 '3,12,45,89,256,1200' 期望 '12,45,89,256,1200'"
sentiment-pos,分类,Qwen3.6-35B,1,1,48,391,7.2,0,得到 '正面' 期望 '正面'
sentiment-pos,分类,Qwen3.6-35B,2,1,48,314,8.2,0,得到 '正面' 期望 '正面'
sentiment-pos,分类,Qwen3.6-35B,3,1,48,451,9.8,0,得到 '正面' 期望 '正面'
sentiment-neg,分类,Qwen3.6-35B,1,1,46,512,8.4,1,得到 '负面' 期望 '负面'
sentiment-neg,分类,Qwen3.6-35B,2,1,46,310,5.0,0,得到 '负面' 期望 '负面'
sentiment-neg,分类,Qwen3.6-35B,3,1,46,512,8.7,1,得到 '负面' 期望 '负面'
sentiment-neu,分类,Qwen3.6-35B,1,1,45,512,10.4,1,得到 '中性' 期望 '中性'
sentiment-neu,分类,Qwen3.6-35B,2,1,45,267,5.1,0,得到 '中性' 期望 '中性'
sentiment-neu,分类,Qwen3.6-35B,3,1,45,305,7.6,0,得到 '中性' 期望 '中性'
date-normalize,格式,Qwen3.6-35B,1,1,44,269,5.0,0,得到 '2026-03-07' 期望 '2026-03-07'
date-normalize,格式,Qwen3.6-35B,2,1,44,287,4.7,0,得到 '2026-03-07' 期望 '2026-03-07'
date-normalize,格式,Qwen3.6-35B,3,1,44,287,6.4,0,得到 '2026-03-07' 期望 '2026-03-07'
count-periods,亲自数,Qwen3.6-35B,1,1,53,426,8.0,0,得到 4 期望 4
count-periods,亲自数,Qwen3.6-35B,2,1,53,438,10.4,0,得到 4 期望 4
count-periods,亲自数,Qwen3.6-35B,3,1,53,512,8.7,1,得到 4 期望 4
json-extract,结构化,Qwen3.6-35B,1,1,52,314,6.6,0,name=王芳 age=29 city=成都
json-extract,结构化,Qwen3.6-35B,2,1,52,512,12.2,1,name=王芳 age=29 city=成都
json-extract,结构化,Qwen3.6-35B,3,1,52,288,9.1,0,name=王芳 age=29 city=成都
extract-amounts,抽取,GLM-5.2,1,1,94,461,7.6,0,"得到 '12,45,89,256,1200' 期望 '12,45,89,256,1200'"
extract-amounts,抽取,GLM-5.2,2,1,94,513,9.2,0,"得到 '12,45,89,256,1200' 期望 '12,45,89,256,1200'"
extract-amounts,抽取,GLM-5.2,3,1,94,510,8.8,0,"得到 '12,45,89,256,1200' 期望 '12,45,89,256,1200'"
sentiment-pos,分类,GLM-5.2,1,1,50,110,4.5,0,得到 '正面' 期望 '正面'
sentiment-pos,分类,GLM-5.2,2,1,50,224,4.3,0,得到 '正面' 期望 '正面'
sentiment-pos,分类,GLM-5.2,3,1,50,194,3.7,0,得到 '正面' 期望 '正面'
sentiment-neg,分类,GLM-5.2,1,1,48,217,4.1,0,得到 '负面' 期望 '负面'
sentiment-neg,分类,GLM-5.2,2,1,48,246,4.2,0,得到 '负面' 期望 '负面'
sentiment-neg,分类,GLM-5.2,3,1,48,221,4.0,0,得到 '负面' 期望 '负面'
sentiment-neu,分类,GLM-5.2,1,1,48,206,4.8,0,得到 '中性' 期望 '中性'
sentiment-neu,分类,GLM-5.2,2,1,48,117,2.7,0,得到 '中性' 期望 '中性'
sentiment-neu,分类,GLM-5.2,3,1,48,161,4.0,0,得到 '中性' 期望 '中性'
date-normalize,格式,GLM-5.2,1,1,44,139,4.1,0,得到 '2026-03-07' 期望 '2026-03-07'
