task,depth,type,model,thinking,trial,correct,strict,completion,reasoning_chars,wall,finish,failmode,note
d-recur-11,deep,递推,Qwen3.6-35B,1,1,1,1,10287,21774,165.0,stop,,得到 256 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,1,2,1,1,14429,27320,271.9,stop,,得到 256 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,1,3,0,0,16384,36577,241.9,length,truncated_empty,"content 空 (finish=length, reasoning 36577字)"
d-recur-11,deep,递推,Qwen3.6-35B,1,4,1,1,10367,19344,113.5,stop,,得到 256 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,1,5,1,1,3083,6004,46.5,stop,,得到 256 期望 256
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,1,1,1,1122,2605,26.4,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,2,1,1,1371,3071,26.8,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,3,1,1,1093,2520,21.1,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,4,1,1,1219,2827,22.7,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,5,1,1,1776,4140,28.0,stop,,"得到 (8, 17) 期望 (8, 17)"
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,1,1,1,4323,11036,61.6,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,2,1,1,5185,12295,98.9,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,3,1,1,1602,3941,17.6,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,4,1,1,2818,6468,29.7,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,5,1,1,2281,5563,53.1,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-multihop,deep,多跳算术,Qwen3.6-35B,1,1,1,1,3538,8616,82.1,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,2,1,1,4103,10520,48.4,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,3,1,1,4598,11723,71.1,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,4,1,1,5290,12661,111.2,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,5,1,1,4816,12522,113.0,stop,,"得到 (74, 4) 期望 (74, 4)"
d-recur-11,deep,递推,GLM-5.2,1,1,1,1,312,596,5.2,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,2,1,1,355,746,9.7,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,3,1,1,289,550,7.6,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,4,1,1,329,680,8.6,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,5,1,1,329,670,8.1,stop,,得到 256 期望 256
d-statemachine,deep,状态跟踪,GLM-5.2,1,1,1,1,159,386,5.9,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,2,1,1,151,346,5.7,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,3,1,1,172,403,6.4,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,4,1,1,155,371,10.2,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,5,1,1,156,352,21.0,stop,,"得到 (8, 17) 期望 (8, 17)"
d-seat-csp,deep,约束满足,GLM-5.2,1,1,1,1,443,1177,8.1,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,2,1,1,470,1377,15.9,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,3,1,1,508,1252,15.4,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,4,1,1,324,836,8.4,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,5,1,1,442,1207,12.6,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-multihop,deep,多跳算术,GLM-5.2,1,1,0,0,12640,43575,260.0,stop,wrong,"得到 (4, 5) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,2,1,1,11807,41400,299.7,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,3,0,0,7215,24073,176.8,stop,wrong,"得到 (4, 5) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,4,0,0,11594,40676,294.1,stop,wrong,"得到 (4, 5) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,5,0,0,0,0,0.0,ERROR,api_error,TimeoutError: The read operation timed out
