task,depth,type,model,thinking,trial,correct,strict,completion,reasoning_chars,wall,finish,failmode,note
s-extract-amounts,shallow,抽取,Qwen3.6-35B,0,1,1,1,18,0,1.5,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,0,2,1,0,18,0,1.7,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,0,3,1,1,18,0,1.5,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,0,4,1,1,18,0,1.7,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,0,5,1,1,18,0,1.3,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,1,1,1,1,2009,4732,18.6,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,1,2,1,1,1187,2795,11.6,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,1,3,1,1,1190,2810,11.6,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,1,4,1,1,1309,3181,12.5,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,Qwen3.6-35B,1,5,1,1,1438,3615,14.3,stop,,"得到 '12,45,89,256,1200'"
s-senti-pos,shallow,分类,Qwen3.6-35B,0,1,1,1,2,0,0.5,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,0,2,1,1,2,0,0.6,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,0,3,1,1,2,0,0.3,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,0,4,1,1,2,0,0.4,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,0,5,1,1,2,0,0.7,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,1,1,1,1,281,983,5.0,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,1,2,1,1,274,946,3.1,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,1,3,1,1,235,843,3.2,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,1,4,1,1,312,1088,7.7,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,Qwen3.6-35B,1,5,1,1,526,1804,6.5,stop,,得到 '正面' 期望 '正面'
s-senti-neg,shallow,分类,Qwen3.6-35B,0,1,1,1,2,0,0.4,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,0,2,1,1,2,0,0.5,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,0,3,1,1,2,0,0.4,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,0,4,1,1,2,0,0.5,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,0,5,1,1,2,0,0.4,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,1,1,1,1,502,1687,12.5,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,1,2,1,1,461,1660,5.4,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,1,3,1,1,501,1754,12.3,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,1,4,1,1,262,932,5.2,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,Qwen3.6-35B,1,5,1,1,407,1380,6.0,stop,,得到 '负面' 期望 '负面'
s-senti-neu,shallow,分类,Qwen3.6-35B,0,1,1,1,2,0,1.0,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,0,2,1,1,2,0,0.5,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,0,3,1,1,2,0,0.5,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,0,4,1,1,2,0,0.5,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,0,5,1,1,2,0,0.3,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,1,1,1,1,266,974,3.1,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,1,2,1,1,314,1106,4.6,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,1,3,1,1,330,1173,4.7,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,1,4,1,1,243,889,3.4,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,Qwen3.6-35B,1,5,1,1,488,1677,10.8,stop,,得到 '中性' 期望 '中性'
s-date-norm,shallow,格式,Qwen3.6-35B,0,1,1,1,11,0,0.4,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,0,2,1,1,11,0,0.4,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,0,3,1,1,11,0,0.6,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,0,4,1,1,11,0,0.5,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,0,5,1,1,11,0,0.5,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,1,1,1,1,273,695,2.7,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,1,2,1,1,250,651,2.4,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,1,3,1,1,307,804,2.8,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,1,4,1,1,291,777,2.7,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,Qwen3.6-35B,1,5,1,1,279,681,2.6,stop,,得到 '2026-03-07'
s-json-extract,shallow,结构化,Qwen3.6-35B,0,1,1,1,21,0,1.9,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,0,2,1,1,21,0,0.8,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,0,3,1,1,21,0,1.6,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,0,4,1,1,21,0,1.6,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,0,5,1,1,21,0,1.5,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,1,1,1,1,347,615,22.3,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,1,2,1,1,264,449,4.0,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,1,3,1,1,187,297,4.5,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,1,4,1,1,254,433,3.9,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,Qwen3.6-35B,1,5,1,1,340,587,7.4,stop,,name=王芳 age=29 city=成都
d-recur-11,deep,递推,Qwen3.6-35B,0,1,0,0,4,0,0.6,stop,wrong,得到 988 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,0,2,0,0,4,0,0.6,stop,wrong,得到 916 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,0,3,0,0,4,0,0.6,stop,wrong,得到 470 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,0,4,0,0,4,0,0.5,stop,wrong,得到 128 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,0,5,0,0,4,0,0.5,stop,wrong,得到 956 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,1,1,0,0,4096,7809,67.5,length,truncated_empty,"content 空 (finish=length, reasoning 7809字)"
